Gene_ID	Family
Gorai.013G095700	SBP
Gorai.013G092300	WRKY
Gorai.013G090200	WRKY
Gorai.013G088400	MYB
Gorai.013G088300	MYB
Gorai.013G088200	MYB
Gorai.013G086600	M-type_MADS
Gorai.013G086400	MYB
Gorai.013G086300	G2-like
Gorai.013G085500	ZF-HD
Gorai.013G085000	NAC
Gorai.013G084500	TCP
Gorai.013G083800	bHLH
Gorai.013G083600	HD-ZIP
Gorai.013G083300	MYB
Gorai.013G082300	WRKY
Gorai.013G081100	bZIP
Gorai.013G080200	G2-like
Gorai.013G080100	C2H2
Gorai.013G080000	RAV
Gorai.013G079600	bHLH
Gorai.013G077400	Whirly
Gorai.013G076100	ERF
Gorai.013G073000	MYB
Gorai.013G072900	MYB
Gorai.013G072100	GRAS
Gorai.013G071800	M-type_MADS
Gorai.013G071600	MYB
Gorai.013G071300	CO-like
Gorai.013G069000	MIKC_MADS
Gorai.013G068600	TCP
Gorai.013G067600	MYB
Gorai.013G066200	NAC
Gorai.013G065300	FAR1
Gorai.013G063500	NAC
Gorai.013G063400	C3H
Gorai.013G061100	CAMTA
Gorai.013G055700	MIKC_MADS
Gorai.013G055000	GATA
Gorai.013G054000	MIKC_MADS
Gorai.013G053800	MIKC_MADS
Gorai.013G050100	C2H2
Gorai.013G048000	bHLH
Gorai.013G045100	bHLH
Gorai.013G044500	bZIP
Gorai.013G043700	ERF
Gorai.013G042700	B3
Gorai.013G040600	G2-like
Gorai.013G040000	B3
Gorai.013G039800	B3
Gorai.013G039700	B3
Gorai.013G039500	B3
Gorai.013G039300	bZIP
Gorai.013G038100	bHLH
Gorai.013G036700	MYB_related
Gorai.013G036400	bHLH
Gorai.013G035200	bZIP
Gorai.013G034600	TALE
Gorai.013G033500	SRS
Gorai.013G033400	DBB
Gorai.013G032900	GATA
Gorai.013G032300	DBB
Gorai.013G032200	C3H
Gorai.013G031600	C2H2
Gorai.013G026300	MYB
Gorai.013G025100	ERF
Gorai.013G023300	C2H2
Gorai.013G023000	bHLH
Gorai.013G022500	Dof
Gorai.013G022000	C2H2
Gorai.013G021200	GeBP
Gorai.013G018200	B3
Gorai.013G017600	C3H
Gorai.013G016900	LBD
Gorai.013G015100	GRAS
Gorai.013G014500	C3H
Gorai.013G013400	Trihelix
Gorai.013G008300	WRKY
Gorai.013G005900	LBD
Gorai.013G004400	bZIP
Gorai.013G003400	AP2
Gorai.013G002900	LBD
Gorai.013G001700	bZIP
Gorai.013G000800	bZIP
Gorai.012G187000	G2-like
Gorai.012G186900	Dof
Gorai.012G186500	MYB
Gorai.012G186000	WRKY
Gorai.012G185900	LBD
Gorai.012G185700	SBP
Gorai.012G185600	MIKC_MADS
Gorai.012G185500	MIKC_MADS
Gorai.012G183200	BBR-BPC
Gorai.012G183100	BBR-BPC
Gorai.012G180300	MIKC_MADS
Gorai.012G176500	SBP
Gorai.012G171500	bHLH
Gorai.012G169300	NAC
Gorai.012G169100	B3
Gorai.012G169000	B3
Gorai.012G168900	B3
Gorai.012G168800	B3
Gorai.012G168700	B3
Gorai.012G167700	B3
Gorai.012G167500	B3
Gorai.012G167400	B3
Gorai.012G166500	TCP
Gorai.012G163200	M-type_MADS
Gorai.012G161900	bHLH
Gorai.012G161700	bHLH
Gorai.012G159500	Trihelix
Gorai.012G155400	MYB_related
Gorai.012G155000	bZIP
Gorai.012G154400	DBB
Gorai.012G151300	bZIP
Gorai.012G151200	B3
Gorai.012G151100	B3
Gorai.012G151000	B3
Gorai.012G150900	B3
Gorai.012G150500	G2-like
Gorai.012G149000	MYB
Gorai.012G148900	HB-PHD
Gorai.012G148000	M-type_MADS
Gorai.012G147900	M-type_MADS
Gorai.012G147800	M-type_MADS
Gorai.012G135600	MYB
Gorai.012G134200	MIKC_MADS
Gorai.012G132400	MYB
Gorai.012G132200	MYB
Gorai.012G130600	ERF
Gorai.012G127900	bHLH
Gorai.012G126600	G2-like
Gorai.012G125700	ERF
Gorai.012G125500	NAC
Gorai.012G124100	bHLH
Gorai.012G119600	WRKY
Gorai.012G118900	BES1
Gorai.012G118000	GRAS
Gorai.012G117800	G2-like
Gorai.012G117300	bHLH
Gorai.012G114700	Trihelix
Gorai.012G112000	MYB
Gorai.012G108300	TALE
Gorai.012G106300	C2H2
Gorai.012G104800	WRKY
Gorai.012G104100	MYB
Gorai.012G103400	Dof
Gorai.012G100100	HD-ZIP
Gorai.012G098200	AP2
Gorai.012G096200	ERF
Gorai.012G094200	LBD
Gorai.012G092900	C3H
Gorai.012G090600	M-type_MADS
Gorai.012G090300	M-type_MADS
Gorai.012G090200	MIKC/M-type_MADS
Gorai.012G090100	M-type_MADS
Gorai.012G090000	M-type_MADS
Gorai.012G085100	WRKY
Gorai.012G084600	TCP
Gorai.012G083700	NAC
Gorai.012G083100	CO-like
Gorai.012G081200	bZIP
Gorai.012G081100	bHLH
Gorai.012G080500	GRAS
Gorai.012G078200	MYB
Gorai.012G078100	bHLH
Gorai.012G075600	MYB
Gorai.012G074000	CAMTA
Gorai.012G073400	NAC
Gorai.012G063800	LBD
Gorai.012G061800	MYB
Gorai.012G056800	WRKY
Gorai.012G056300	AP2
Gorai.012G055400	HD-ZIP
Gorai.012G055200	bHLH
Gorai.012G054800	NAC
Gorai.012G054500	MYB
Gorai.012G054400	ZF-HD
Gorai.012G054300	ZF-HD
Gorai.012G052500	MYB
Gorai.012G051500	WRKY
Gorai.012G049800	C2H2
Gorai.012G048500	TCP
Gorai.012G046200	ZF-HD
Gorai.012G044200	HSF
Gorai.012G042600	MIKC_MADS
Gorai.012G040700	WRKY
Gorai.012G040100	Nin-like
Gorai.012G037600	NAC
Gorai.012G036100	NAC
Gorai.012G031100	bHLH
Gorai.012G028600	C3H
Gorai.012G028200	WRKY
Gorai.012G022300	NF-YC
Gorai.012G022000	MYB
Gorai.012G021400	FAR1
Gorai.012G018400	Trihelix
Gorai.012G016100	Nin-like
Gorai.012G015900	LBD
Gorai.012G014500	bZIP
Gorai.012G014000	WRKY
Gorai.012G013900	WRKY
Gorai.012G011800	AP2
Gorai.012G011700	MYB
Gorai.012G010900	NF-YA
Gorai.012G009900	C3H
Gorai.012G009000	ARF
Gorai.012G007100	bZIP
Gorai.012G007000	NAC
Gorai.012G006900	C2H2
Gorai.012G004800	ARF
Gorai.011G292100	bHLH
Gorai.011G291900	ERF
Gorai.011G291500	LBD
Gorai.011G291200	G2-like
Gorai.011G290800	LBD
Gorai.011G289400	C3H
Gorai.011G286700	B3
Gorai.011G283000	WOX
Gorai.011G279800	MYB
Gorai.011G279700	MYB_related
Gorai.011G278500	MYB
Gorai.011G271500	NAC
Gorai.011G271300	NAC
Gorai.011G271200	TALE or HB-other
Gorai.011G269500	NAC
Gorai.011G269400	NAC
Gorai.011G267700	LBD
Gorai.011G266200	GRAS
Gorai.011G257300	Dof
Gorai.011G257000	NAC
Gorai.011G255600	bHLH
Gorai.011G254300	C2H2
Gorai.011G254200	C2H2
Gorai.011G241700	AP2
Gorai.011G241600	NF-YB
Gorai.011G240800	MYB
Gorai.011G239800	NAC
Gorai.011G238900	ARF
Gorai.011G238800	GATA
Gorai.011G235900	ERF
Gorai.011G234400	C2H2
Gorai.011G234200	NAC
Gorai.011G228000	GeBP
Gorai.011G226600	bHLH
Gorai.011G225700	AP2
Gorai.011G224000	FAR1
Gorai.011G221900	C2H2
Gorai.011G217200	bZIP
Gorai.011G216400	Trihelix
Gorai.011G215400	SRS
Gorai.011G209200	bZIP
Gorai.011G204700	CAMTA
Gorai.011G203900	MYB
Gorai.011G201800	WRKY
Gorai.011G198600	CAMTA
Gorai.011G196400	ARR-B
Gorai.011G195800	FAR1
Gorai.011G195100	MYB
Gorai.011G193600	ERF
Gorai.011G189100	NF-YB
Gorai.011G189000	M-type_MADS
Gorai.011G188400	C3H
Gorai.011G188200	ERF
Gorai.011G183800	SBP
Gorai.011G177600	M-type_MADS
Gorai.011G175600	C2H2
Gorai.011G173900	MYB
Gorai.011G173000	ERF
Gorai.011G172800	ERF
Gorai.011G172500	bHLH
Gorai.011G172000	C2H2
Gorai.011G170200	G2-like
Gorai.011G168400	HSF
Gorai.011G159100	bHLH
Gorai.011G158800	M-type_MADS
Gorai.011G158700	M-type_MADS
Gorai.011G158500	G2-like
Gorai.011G157500	ERF
Gorai.011G151600	ERF
Gorai.011G150200	bHLH
Gorai.011G144600	bHLH
Gorai.011G142100	FAR1
Gorai.011G142000	FAR1
Gorai.011G141900	FAR1
Gorai.011G140400	bZIP
Gorai.011G140300	GRAS
Gorai.011G140100	GRAS
Gorai.011G138700	Nin-like
Gorai.011G135700	bHLH
Gorai.011G127500	B3
Gorai.011G122800	MYB
Gorai.011G120200	MYB_related
Gorai.011G117300	bHLH
Gorai.011G116100	bHLH
Gorai.011G114900	ERF
Gorai.011G114200	WRKY
Gorai.011G113300	ERF
Gorai.011G112200	bZIP
Gorai.011G111500	HD-ZIP
Gorai.011G111100	B3
Gorai.011G110900	bHLH
Gorai.011G109500	AP2
Gorai.011G108400	GRF
Gorai.011G106200	AP2
Gorai.011G105700	HSF
Gorai.011G104600	LBD
Gorai.011G104200	Dof
Gorai.011G104000	Dof
Gorai.011G103800	B3
Gorai.011G102400	GRAS
Gorai.011G101700	MYB_related
Gorai.011G098600	WOX
Gorai.011G095900	HD-ZIP
Gorai.011G091100	ARF
Gorai.011G090900	ZF-HD
Gorai.011G090000	NAC
Gorai.011G087700	NAC
Gorai.011G086900	TCP
Gorai.011G086300	WRKY
Gorai.011G085000	FAR1
Gorai.011G082900	ERF
Gorai.011G076900	Trihelix
Gorai.011G074200	CPP
Gorai.011G073400	bHLH
Gorai.011G072500	GATA
Gorai.011G069200	bHLH
Gorai.011G067500	Dof
Gorai.011G064700	C2H2
Gorai.011G064500	LBD
Gorai.011G063900	MYB
Gorai.011G058900	GRAS
Gorai.011G058800	GRF
Gorai.011G058300	MYB_related
Gorai.011G057600	NF-YA
Gorai.011G056300	ERF
Gorai.011G055800	M-type_MADS
Gorai.011G051200	LBD
Gorai.011G050400	Trihelix
Gorai.011G048200	ARF
Gorai.011G046000	TCP
Gorai.011G044300	MYB_related
Gorai.011G044100	MYB
Gorai.011G041400	WRKY
Gorai.011G040200	Dof
Gorai.011G039600	Trihelix
Gorai.011G039000	G2-like
Gorai.011G037500	WRKY
Gorai.011G036400	HSF
Gorai.011G036300	BES1
Gorai.011G035500	MIKC_MADS
Gorai.011G034000	bHLH
Gorai.011G031300	WOX
Gorai.011G030900	ARF
Gorai.011G030600	NAC
Gorai.011G029800	ERF
Gorai.011G029700	ERF
Gorai.011G029400	SBP
Gorai.011G029300	Dof
Gorai.011G029200	Dof
Gorai.011G028400	bHLH
Gorai.011G027400	HSF
Gorai.011G025600	Dof
Gorai.011G024300	MYB_related
Gorai.011G023800	MYB
Gorai.011G022400	B3
Gorai.011G021300	MYB
Gorai.011G020100	bHLH
Gorai.011G019900	bHLH
Gorai.011G016200	HD-ZIP
Gorai.011G012700	WRKY
Gorai.011G011700	TALE
Gorai.011G008700	MYB_related
Gorai.011G006600	WRKY
Gorai.011G005300	LSD
Gorai.011G004400	NF-YA
Gorai.011G004200	HD-ZIP
Gorai.011G001500	G2-like
Gorai.010G256900	HB-other
Gorai.010G256600	ERF
Gorai.010G256500	C3H
Gorai.010G253000	MYB_related
Gorai.010G252300	MYB_related
Gorai.010G251100	NAC
Gorai.010G249400	GRAS
Gorai.010G248600	Trihelix
Gorai.010G247200	G2-like
Gorai.010G247100	G2-like
Gorai.010G246900	LSD
Gorai.010G245200	DBB or CO-like
Gorai.010G243900	ARR-B
Gorai.010G243700	C2H2
Gorai.010G243500	HB-other
Gorai.010G240800	HSF
Gorai.010G240700	BES1
Gorai.010G236700	NAC
Gorai.010G236100	ERF
Gorai.010G235700	Trihelix
Gorai.010G232200	LBD
Gorai.010G232100	LBD
Gorai.010G230500	GATA
Gorai.010G228000	Trihelix
Gorai.010G222900	ERF
Gorai.010G222700	C2H2
Gorai.010G222400	WRKY
Gorai.010G219200	WRKY
Gorai.010G218700	bZIP
Gorai.010G215200	NF-YC
Gorai.010G215100	C2H2
Gorai.010G212800	MYB
Gorai.010G212600	MYB
Gorai.010G212500	MYB
Gorai.010G203800	LBD
Gorai.010G202400	C2H2
Gorai.010G201000	GRAS
Gorai.010G197800	NF-X1
Gorai.010G196500	C3H
Gorai.010G195100	LBD
Gorai.010G191900	bHLH
Gorai.010G191800	bHLH
Gorai.010G189600	FAR1
Gorai.010G183800	TALE
Gorai.010G182500	WRKY
Gorai.010G181100	G2-like
Gorai.010G177800	HD-ZIP
Gorai.010G171500	Trihelix
Gorai.010G171100	NAC
Gorai.010G170700	LBD
Gorai.010G165500	M-type_MADS
Gorai.010G164700	WRKY
Gorai.010G161000	WRKY
Gorai.010G159700	G2-like
Gorai.010G159300	Dof
Gorai.010G157600	NAC
Gorai.010G157400	ARF
Gorai.010G157200	VOZ
Gorai.010G156600	ERF
Gorai.010G156500	ERF
Gorai.010G155900	ERF
Gorai.010G155200	Dof
Gorai.010G154100	bHLH
Gorai.010G152100	Dof
Gorai.010G151400	NAC
Gorai.010G150700	MYB_related
Gorai.010G149300	MYB
Gorai.010G148300	MYB
Gorai.010G147100	bHLH
Gorai.010G142400	NAC
Gorai.010G139300	MYB
Gorai.010G133300	M-type_MADS
Gorai.010G133200	M-type_MADS
Gorai.010G133100	M-type_MADS
Gorai.010G133000	M-type_MADS
Gorai.010G132900	M-type_MADS
Gorai.010G132800	M-type_MADS
Gorai.010G132700	M-type_MADS
Gorai.010G132400	M-type_MADS
Gorai.010G132200	M-type_MADS
Gorai.010G131500	ERF
Gorai.010G131300	WRKY
Gorai.010G128700	EIL
Gorai.010G127900	MYB_related
Gorai.010G124200	bZIP
Gorai.010G124100	NAC
Gorai.010G121800	WRKY
Gorai.010G118300	WRKY
Gorai.010G117500	ERF
Gorai.010G117100	TALE
Gorai.010G116000	FAR1
Gorai.010G114800	ERF
Gorai.010G113000	WRKY
Gorai.010G112200	bHLH
Gorai.010G110000	MYB
Gorai.010G108300	CPP
Gorai.010G106600	ERF
Gorai.010G106100	GATA
Gorai.010G105900	HD-ZIP
Gorai.010G101100	GATA
Gorai.010G100400	M-type_MADS
Gorai.010G099600	C2H2
Gorai.010G098000	WRKY
Gorai.010G096900	Trihelix
Gorai.010G096800	MYB
Gorai.010G096200	M-type_MADS
Gorai.010G096100	M-type_MADS
Gorai.010G091300	ARF
Gorai.010G091100	ERF
Gorai.010G090500	bHLH
Gorai.010G087200	MYB
Gorai.010G086300	NF-YA
Gorai.010G083900	bHLH
Gorai.010G082800	GATA
Gorai.010G081800	MYB_related
Gorai.010G079900	MYB
Gorai.010G078900	NAC
Gorai.010G075300	ERF
Gorai.010G075000	B3
Gorai.010G073600	bHLH
Gorai.010G073200	CPP
Gorai.010G070900	HSF
Gorai.010G067300	G2-like
Gorai.010G067000	GRAS
Gorai.010G062900	YABBY
Gorai.010G056100	TALE
Gorai.010G051900	NAC
Gorai.010G048900	ERF
Gorai.010G048800	GRAS
Gorai.010G048000	C2H2
Gorai.010G046200	Dof
Gorai.010G046000	ARF
Gorai.010G045700	bZIP
Gorai.010G045600	bZIP
Gorai.010G043200	ERF
Gorai.010G039600	C2H2
Gorai.010G037800	HD-ZIP
Gorai.010G036300	ZF-HD
Gorai.010G035000	MIKC_MADS
Gorai.010G033500	GATA
Gorai.010G033400	GATA
Gorai.010G032700	M-type_MADS
Gorai.010G031800	bHLH
Gorai.010G029000	TALE
Gorai.010G028800	MYB
Gorai.010G028200	bHLH
Gorai.010G028100	AP2
Gorai.010G027700	GRF
Gorai.010G025400	bHLH
Gorai.010G025200	C2H2
Gorai.010G025100	LBD
Gorai.010G023500	MYB
Gorai.010G022600	WRKY
Gorai.010G022000	C2H2
Gorai.010G021900	ERF
Gorai.010G020700	HSF
Gorai.010G020500	bHLH
Gorai.010G016800	MYB
Gorai.010G015500	G2-like
Gorai.010G012000	NAC
Gorai.010G011200	C2H2
Gorai.010G010000	MYB_related
Gorai.010G008200	bHLH
Gorai.010G008000	bZIP
Gorai.010G007800	TALE
Gorai.010G007700	TALE
Gorai.010G006800	SRS
Gorai.010G006600	DBB
Gorai.009G454000	MYB
Gorai.009G451700	HB-other
Gorai.009G446100	GRAS
Gorai.009G443400	ERF
Gorai.009G433200	NAC
Gorai.009G433100	NAC
Gorai.009G429100	bHLH
Gorai.009G427800	GRAS
Gorai.009G421200	WRKY
Gorai.009G419300	S1Fa-like
Gorai.009G418700	NAC
Gorai.009G418600	C2H2
Gorai.009G413600	MYB
Gorai.009G412900	C2H2
Gorai.009G409600	HD-ZIP
Gorai.009G407200	ERF
Gorai.009G406800	ERF
Gorai.009G406500	GRF
Gorai.009G405400	bZIP
Gorai.009G399900	NAC
Gorai.009G399000	B3
Gorai.009G398700	TCP
Gorai.009G396900	TALE
Gorai.009G394400	NF-YA
Gorai.009G375700	ERF
Gorai.009G373000	TCP
Gorai.009G367100	YABBY
Gorai.009G358500	M-type_MADS
Gorai.009G357700	NAC
Gorai.009G356100	M-type_MADS
Gorai.009G356000	M-type_MADS
Gorai.009G355900	M-type_MADS
Gorai.009G355700	ERF
Gorai.009G354900	NAC
Gorai.009G338500	C3H
Gorai.009G337700	bHLH
Gorai.009G336900	HB-other
Gorai.009G333800	Trihelix
Gorai.009G333400	M-type_MADS
Gorai.009G332200	CAMTA
Gorai.009G331300	HD-ZIP
Gorai.009G329400	G2-like
Gorai.009G329200	C2H2
Gorai.009G328200	MYB_related
Gorai.009G327300	bHLH
Gorai.009G324000	bHLH
Gorai.009G323600	HD-ZIP
Gorai.009G319300	Dof
Gorai.009G315600	NF-YB
Gorai.009G314600	MYB_related
Gorai.009G313700	GATA
Gorai.009G313100	C2H2
Gorai.009G309300	NAC
Gorai.009G309200	bZIP
Gorai.009G309000	NAC
Gorai.009G304600	Trihelix
Gorai.009G302800	M-type_MADS
Gorai.009G301400	bZIP
Gorai.009G301200	bZIP
Gorai.009G301100	MYB
Gorai.009G295000	LBD
Gorai.009G293600	bZIP
Gorai.009G292600	WRKY
Gorai.009G289600	GRAS
Gorai.009G289000	TCP
Gorai.009G288900	MYB
Gorai.009G288800	C2H2
Gorai.009G288000	MIKC_MADS
Gorai.009G285000	bZIP
Gorai.009G284300	M-type_MADS
Gorai.009G284200	M-type_MADS
Gorai.009G281000	MYB
Gorai.009G279600	bHLH
Gorai.009G279300	bHLH
Gorai.009G279200	GATA
Gorai.009G277500	GRF
Gorai.009G276400	MYB
Gorai.009G276100	WRKY
Gorai.009G275700	bZIP
Gorai.009G275100	MYB
Gorai.009G274000	BES1
Gorai.009G273300	MYB_related
Gorai.009G273000	MYB_related
Gorai.009G271400	ERF
Gorai.009G271100	MIKC_MADS
Gorai.009G269300	bZIP
Gorai.009G266700	ERF
Gorai.009G266600	ERF
Gorai.009G266200	ERF
Gorai.009G265100	MIKC_MADS
Gorai.009G263200	MYB
Gorai.009G260000	NAC
Gorai.009G259600	WRKY
Gorai.009G255400	ERF
Gorai.009G253900	Trihelix
Gorai.009G253700	Trihelix
Gorai.009G252800	Dof
Gorai.009G251800	GRAS
Gorai.009G251700	MYB
Gorai.009G249000	C3H
Gorai.009G244500	ERF
Gorai.009G244200	GRAS
Gorai.009G243200	C2H2
Gorai.009G242400	C2H2
Gorai.009G241900	ARF
Gorai.009G238800	ERF
Gorai.009G236900	MYB
Gorai.009G233900	HD-ZIP
Gorai.009G233500	GeBP
Gorai.009G233000	bHLH
Gorai.009G231800	ZF-HD
Gorai.009G230000	bHLH
Gorai.009G227500	M-type_MADS
Gorai.009G226200	bHLH
Gorai.009G223200	TALE
Gorai.009G223100	HD-ZIP
Gorai.009G222900	MYB
Gorai.009G222200	GRF
Gorai.009G221800	bZIP
Gorai.009G219100	bHLH
Gorai.009G218900	C2H2
Gorai.009G218800	LBD
Gorai.009G216900	M-type_MADS
Gorai.009G215900	MYB
Gorai.009G214800	WRKY
Gorai.009G214300	ERF
Gorai.009G214200	WOX
Gorai.009G214000	NAC
Gorai.009G213800	bHLH
Gorai.009G213100	HSF
Gorai.009G212900	bHLH
Gorai.009G212600	bZIP
Gorai.009G208900	MYB
Gorai.009G207800	Dof
Gorai.009G207400	B3
Gorai.009G207200	G2-like
Gorai.009G204700	NAC
Gorai.009G204600	BES1
Gorai.009G203800	C2H2
Gorai.009G201700	MYB_related
Gorai.009G201300	ZF-HD
Gorai.009G201200	MYB_related
Gorai.009G199600	bHLH
Gorai.009G199300	bZIP
Gorai.009G198500	TALE
Gorai.009G197800	ERF
Gorai.009G197300	SRS
Gorai.009G197000	DBB
Gorai.009G196100	ARF
Gorai.009G195000	C2H2
Gorai.009G192500	bZIP
Gorai.009G187500	Nin-like
Gorai.009G186000	NAC
Gorai.009G184800	NF-YB
Gorai.009G184100	GRAS
Gorai.009G181500	TALE
Gorai.009G180400	WRKY
Gorai.009G176000	bHLH
Gorai.009G175600	C2H2
Gorai.009G175300	bHLH
Gorai.009G174500	MYB
Gorai.009G173100	B3
Gorai.009G171600	MYB_related
Gorai.009G170700	NAC
Gorai.009G170200	Dof
Gorai.009G169900	LSD
Gorai.009G169200	bHLH
Gorai.009G168500	B3
Gorai.009G168400	Dof
Gorai.009G168300	Dof
Gorai.009G167600	C3H
Gorai.009G166300	NAC
Gorai.009G166100	ARF
Gorai.009G165800	VOZ
Gorai.009G165700	WOX
Gorai.009G165600	LBD
Gorai.009G165500	ERF
Gorai.009G165400	ERF
Gorai.009G163400	bHLH
Gorai.009G162500	Dof
Gorai.009G161800	G2-like
Gorai.009G160800	WRKY
Gorai.009G157300	WRKY
Gorai.009G157100	M-type_MADS
Gorai.009G153900	TCP
Gorai.009G152700	ARF
Gorai.009G150000	Trihelix
Gorai.009G149900	LBD
Gorai.009G147300	ERF
Gorai.009G146500	MYB
Gorai.009G144800	Trihelix
Gorai.009G143800	NF-YA
Gorai.009G143000	MYB_related
Gorai.009G142200	MYB
Gorai.009G141200	C2H2
Gorai.009G139800	Dof
Gorai.009G137300	MYB_related
Gorai.009G136800	HD-ZIP
Gorai.009G136500	ERF
Gorai.009G135100	HD-ZIP
Gorai.009G133300	Trihelix
Gorai.009G128000	C2H2
Gorai.009G127000	FAR1
Gorai.009G125700	ERF
Gorai.009G125100	ERF
Gorai.009G124600	C2H2
Gorai.009G124000	WRKY
Gorai.009G123600	LBD
Gorai.009G122000	AP2/ERF
Gorai.009G120900	G2-like
Gorai.009G116800	WRKY
Gorai.009G116000	LSD
Gorai.009G115000	NF-YA
Gorai.009G112900	LBD
Gorai.009G112300	G2-like
Gorai.009G112200	bZIP
Gorai.009G110800	MYB
Gorai.009G109300	TALE
Gorai.009G107900	GATA
Gorai.009G107800	ARF
Gorai.009G107500	HD-ZIP
Gorai.009G105400	EIL
Gorai.009G104200	AP2
Gorai.009G103500	WOX
Gorai.009G100100	Dof
Gorai.009G098300	MYB_related
Gorai.009G098200	GRAS
Gorai.009G098100	GRAS
Gorai.009G097100	G2-like
Gorai.009G093700	MYB
Gorai.009G092800	C2H2
Gorai.009G091200	C3H
Gorai.009G090400	bHLH
Gorai.009G090200	C2H2
Gorai.009G090000	C2H2
Gorai.009G088600	C2H2
Gorai.009G087700	ERF
Gorai.009G086200	bZIP
Gorai.009G085700	bZIP
Gorai.009G085200	NF-YB
Gorai.009G083500	NAC
Gorai.009G082700	TALE
Gorai.009G080900	MYB_related
Gorai.009G079400	Dof
Gorai.009G078800	ARF
Gorai.009G078100	C2H2
Gorai.009G077100	NF-YC
Gorai.009G075900	C2H2
Gorai.009G075300	SRS
Gorai.009G073100	bHLH
Gorai.009G072000	FAR1
Gorai.009G071900	bHLH
Gorai.009G071400	EIL
Gorai.009G070300	C3H
Gorai.009G070200	GATA
Gorai.009G068400	C2H2
Gorai.009G066900	WRKY
Gorai.009G065600	CO-like
Gorai.009G062400	WRKY
Gorai.009G062300	WRKY
Gorai.009G061000	ARR-B
Gorai.009G060900	C2H2
Gorai.009G060600	ERF
Gorai.009G060200	TALE
Gorai.009G055200	bHLH
Gorai.009G054200	ARR-B
Gorai.009G051000	MYB
Gorai.009G050200	ERF
Gorai.009G049300	GATA
Gorai.009G049100	HD-ZIP
Gorai.009G047600	C3H
Gorai.009G045000	GATA
Gorai.009G044300	C2H2
Gorai.009G040900	MYB
Gorai.009G040800	MYB
Gorai.009G038500	bHLH
Gorai.009G037100	ARF
Gorai.009G037000	ERF
Gorai.009G035200	GRF
Gorai.009G032300	HSF
Gorai.009G032200	C3H
Gorai.009G031900	bHLH
Gorai.009G031400	GATA
Gorai.009G030900	MYB_related
Gorai.009G029300	C3H
Gorai.009G028900	NAC
Gorai.009G026600	bHLH
Gorai.009G025900	CPP
Gorai.009G024700	HSF
Gorai.009G022100	G2-like
